code2,hyname
600260,量子通信，智能穿戴，智能医疗，新材料概念，电子商务，智能交通，安防，互联网+，航运概念，军工，互联网医疗，5G，军民融合，创投，MSCI预期，富时罗素概念股，标普道琼斯A股，专网通信，光纤光缆，全息手机，参股民营银行，老字号
600261,标普道琼斯A股，节能照明，富时罗素概念股，参股券商
600262,无人驾驶，央企国资改革，股权转让，中兵系，挖掘机，航天军工
600265,ST板块，美丽中国，股权转让，纤维板，林场改革，机构重仓
600266,雄安新区，证金持股，创投，参股券商，参股新三板，雄安地产，北京环球影城，冬奥会，北京国资改革，地方国资改革
600267,超级真菌，青蒿素，仿制药一致性评价，生物医药，禽流感，动物疫苗，银屑病，猪瘟疫情，抗肿瘤，仿制药，创新药，胰岛素，浙江国资改革，地方国资改革，阿糖胞苷，医保目录，流感，抗癌，老龄化，单抗
600268,电力物联网，智能电网，特高压，充电桩，央企国资改革，轨道交通，新基建，新能源，合同能源管理
600269,核电，参股券商，地方国资改革
600271,电子发票，网络安全，智慧城市，食品安全，物联网，二维码识别，央企国资改革，人脸识别，MSCI概念，大数据，互联网+，人工智能，金融IC，区块链，新零售，腾讯概念，军工，证金持股，富时罗素概念股，ETC，国产软件，标普道琼斯A股，金融科技，物联网
600272,上海国资改革，民营医院，生物医药，参股银行，地方国资改革，老字号，含B股
600273,氢能源，煤化工，长三角一体化，光伏概念，标普道琼斯A股
600275,壳资源，ST板块，举牌
600276,仿制药一致性评价，标普道琼斯A股，MSCI概念，富时罗素概念股，感知氧气，抗肿瘤，仿制药，单抗，创新药，抗辐射药，胰岛素，诺贝尔，抗癌，老龄化，医保目录
600277,光伏概念，充电桩，节能环保，富时罗素概念股，标普道琼斯A股，尿素，PVC，风沙治理
600278,自由贸易港，外资券商影子股，上海国资改革，参股券商，迪士尼，物流电商平台，人民币贬值受益，创投，进口博览会，地方国资改革
600279,一带一路，航运港口，重庆自贸区，长江经济带，地方国资改革，黄金水道，成渝特区，重庆国资改革
600280,新零售，电子商务，商超百货，便利店
600281,稀土永磁，新材料概念，煤化工，烧碱，PVC，山西国资改革，地方国资改革
600282,参股银行，创投，债转股，互联网+，人民币贬值受益，参股新三板，人工智能，工业4.0，核电，可燃冰，一带一路，工业互联网，MSCI预期，富时罗素概念股，标普道琼斯A股，互联网钢铁，铁矿石
600283,水利，污水处理，节能环保，参股新三板，创投，央企国资改革，水价改革，舟山新区，机构重仓
600284,自由贸易港，上海自贸区，上海国资改革，迪士尼，创投，富时罗素概念股，标普道琼斯A股，地方国资改革
600285,芬太尼，标普道琼斯A股，中医药
600287,金改，期货概念，参股银行，参股券商，人民币贬值受益，参股保险，江苏国资改革，地方国资改革
600288,食品安全，融媒体，超清视频，期货概念，机器人概念，激光，工业机器人，引力波，徐翔概念股，地沟油概念，电子信息，元器件，机器视觉，激光器，太赫兹
600289,黑龙江自贸区，ST板块，智能交通，车联网，智慧城市，网络安全，智能物流，证金持股，流量银行，京东概念，物流骨干网
600290,创投，智能电网，风电，新能源，小额贷款
600291,标普道琼斯A股，富时罗素概念股，MSCI预期
600292,美丽中国，PPP概念，PM2.5，参股券商，节能环保，电力改革，央企国资改革，期货概念，核电，证金持股，正定新区，长江经济带，节能减排，土壤修复，脱硫脱硝，碳交易，成渝特区，废气处理
600293,稀缺资源，股权转让，华为概念，参股银行，玻璃，多晶硅
600295,标普道琼斯A股，小金属概念，金属锰，含B股，多晶硅
600297,富时罗素概念股，标普道琼斯A股，MSCI概念，大消费，恒大概念，汽车关税下调，二手车，融资租赁，汽车制造概念，机构重仓
